MAG_ID,MAG_NUM
DHFFMCEN,101
BDGNPLIE,115
PEPGONCO,12
CPKFOKFO,123
FCAAAMNP,124
HJAEANGA,128
AJHEAEGA,129
LFGFOHFD,134
LADGLMKK,138
JIHFGCOB,14
CEPPNMBC,146
DMFPJEAC,148
GGKFPEDG,154
JMKEFNPO,166
ONJNAMEP,169
KEHJAANI,173
PHEMFALE,178
LOKAAFNN,183
HCECNLJI,184
HJOPDJEG,186
BELFPEKK,187
PLJGIFCM,19
LGEFJKCI,195
ILJJKAIF,200
PDJMBMJC,206
GMJIHJDH,210
DFCDNDEJ,215
LBJIBOGB,217
HFOGGDGB,219
IPLMEJIO,224
INGFBDHC,228
GJEHPJMA,230
BFLKIJEP,235
LIGOIBOB,238
KIMIBADI,241
BOGOCIBL,248
MPKEGLGM,249
JLCBNJHL,25
ELDGJCED,252
BLAKBMMC,255
CNIBABLL,256
PCOFBJDJ,257
AFJOPNBF,30
FHEIOFOE,37
HLJNBGFD,4
KLKINADH,45
EGGJLGKN,53
BKOHAJKD,55
OIGONKMI,58
EEFEKJKF,62
NFHPMHHN,66
AJPANEGD,67
LENOGGNF,7
POGANGGD,78
POEIBEMJ,79
BNHOENGM,87
DDLGFEBJ,89
FAEMAHPM,94
FFGJHPAI,95
